time,height
83.9,18288.5
84,18332.1
84.1,18375.8
84.2,18419.5
84.3,18463.2
84.4,18507
84.5,18550.9
84.6,18594.8
84.7,18638.7
84.8,18682.8
84.9,18726.8
85,18770.9
85.1,18815.1
85.2,18859.3
85.3,18903.6
85.4,18947.9
85.5,18992.3
85.6,19036.7
85.7,19081.2
85.8,19125.7
85.9,19170.3
86,19214.9
86.1,19259.6
86.2,19304.4
86.3,19349.2
86.4,19394
86.5,19438.9
86.6,19483.8
86.7,19528.8
86.8,19573.9
86.9,19619
87,19664.1
87.1,19709.3
87.2,19754.6
87.3,19799.9
87.4,19845.3
87.5,19890.7
87.6,19936.1
87.7,19981.7
87.8,20027.2
87.9,20072.8
88,20118.5
88.1,20164.2
88.2,20210
88.3,20255.8
88.4,20301.7
88.5,20347.7
88.6,20393.6
88.7,20439.7
88.8,20485.8
88.9,20531.9
89,20578.1
89.1,20624.3
89.2,20670.6
89.3,20717
89.4,20763.4
89.5,20809.8
89.6,20856.3
89.7,20902.9
89.8,20949.5
89.9,20996.1
90,21042.9
90.1,21089.6
90.2,21136.4
90.3,21183.3
90.4,21230.2
90.5,21277.2
90.6,21324.2
90.7,21371.3
90.8,21418.4
90.9,21465.6
91,21512.8
91.1,21560.1
91.2,21607.4
91.3,21654.8
91.4,21702.2
91.5,21749.7
91.6,21797.3
91.7,21844.9
91.8,21892.5
91.9,21940.2
92,21988
92.1,22035.8
92.2,22083.6
92.3,22131.5
92.4,22179.5
92.5,22227.5
92.6,22275.5
92.7,22323.6
92.8,22371.8
92.9,22420
93,22468.3
93.1,22516.6
93.2,22565
93.3,22613.4
93.4,22661.9
93.5,22710.4
93.6,22759
93.7,22807.6
93.8,22856.3
93.9,22905
94,22953.8
94.1,23002.7
94.2,23051.5
94.3,23100.5
94.4,23149.5
94.5,23198.5
94.6,23247.6
94.7,23296.8
94.8,23346
94.9,23395.2
95,23444.5
95.1,23493.9
95.2,23543.3
95.3,23592.8
95.4,23642.3
95.5,23691.8
95.6,23741.4
95.7,23791.1
95.8,23840.8
95.9,23890.6
96,23940.4
96.1,23990.3
96.2,24040.2
96.3,24090.2
96.4,24140.2
96.5,24190.3
96.6,24240.5
96.7,24290.7
96.8,24340.9
96.9,24391.2
97,24441.5
97.1,24491.9
97.2,24542.4
97.3,24592.9
97.4,24643.4
97.5,24694
97.6,24744.7
97.7,24795.4
97.8,24846.1
97.9,24896.9
98,24947.8
98.1,24998.7
98.2,25049.7
98.3,25100.7
98.4,25151.8
98.5,25202.9
98.6,25254.1
98.7,25305.3
98.8,25356.6
98.9,25407.9
99,25459.3
99.1,25510.7
99.2,25562.2
99.3,25613.7
99.4,25665.3
99.5,25717
99.6,25768.7
99.7,25820.4
99.8,25872.2
99.9,25924.1
100,25976
